Student ID,Student Name,College Name,Department,Registration Date,Active Status,Assessment Score,Assessment Completed Status,Course Completion Status,Placement Readiness Status
S0073,Student_73,GITAM,Civil,09-11-2025,Yes,55,Completed,Not Completed,Not Ready
S0074,Student_74,XYZ Institute,AI&ML,13-11-2025,Yes,65,Completed,Not Completed,Not Ready
S0075,Student_75,SVEC,IT,26-01-2025,Yes,86,Completed,Completed,Ready
S0076,Student_76,JNTU,CSE,26-03-2025,Yes,73,Completed,Completed,Not Ready
S0077,Student_77,XYZ Institute,EEE,01-10-2025,Yes,73,Completed,Completed,Not Ready
S0078,Student_78,SVEC,ECE,21-11-2025,Yes,54,Completed,Not Completed,Not Ready
S0079,Student_79,GITAM,IT,17-02-2025,No,83,Completed,Not Completed,Not Ready
S0080,Student_80,SVEC,AI&ML,17-10-2025,Yes,90,Completed,Completed,Ready
S0081,Student_81,XYZ Institute,ECE,16-11-2025,Yes,86,Completed,Completed,Ready
S0082,Student_82,ABC College,ME,05-05-2025,Yes,67,Completed,Completed,Not Ready
S0083,Student_83,GITAM,Civil,07-02-2025,Yes,65,Completed,Completed,Not Ready
S0084,Student_84,JNTU,ME,12-01-2025,No,89,Completed,Not Completed,Not Ready
S0085,Student_85,GITAM,ME,17-10-2025,Yes,52,Completed,Not Completed,Not Ready
S0086,Student_86,VIT,AI&ML,16-02-2025,Yes,52,Completed,Not Completed,Not Ready
S0087,Student_87,VIT,AI&DS,17-05-2025,Yes,94,Completed,Not Completed,Not Ready
S0088,Student_88,JNTU,AI&ML,09-02-2025,Yes,51,Completed,Not Completed,Not Ready
S0089,Student_89,SVEC,Civil,13-12-2025,Yes,69,Completed,Completed,Not Ready
S0090,Student_90,GITAM,AI&ML,02-10-2025,Yes,56,Completed,Not Completed,Not Ready
S0091,Student_91,ABC College,CSE,05-04-2025,Yes,70,Completed,Completed,Not Ready
S0092,Student_92,GITAM,EEE,13-06-2025,Yes,83,Completed,Not Completed,Not Ready
S0093,Student_93,VIT,AI&ML,16-04-2025,No,92,Completed,Not Completed,Not Ready
S0094,Student_94,SVEC,ECE,23-01-2025,Yes,66,Completed,Not Completed,Not Ready
S0095,Student_95,GITAM,CSE,27-12-2025,Yes,72,Completed,Completed,Not Ready
S0096,Student_96,SVEC,AI&DS,10-08-2025,Yes,71,Completed,Completed,Not Ready
S0097,Student_97,VIT,EEE,06-04-2025,Yes,73,Completed,Completed,Not Ready
S0098,Student_98,JNTU,IT,25-06-2025,Yes,73,Completed,Completed,Not Ready
S0099,Student_99,XYZ Institute,AI&DS,20-05-2025,Yes,54,Completed,Not Completed,Not Ready
S0100,Student_100,GITAM,CSE,18-07-2025,No,97,Completed,Not Completed,Not Ready
S0101,Student_101,XYZ Institute,ECE,05-09-2025,Yes,97,Completed,Completed,Ready
S0102,Student_102,SVEC,AI&ML,17-10-2025,Yes,47,Not Completed,Not Completed,Not Ready
S0103,Student_103,GITAM,Civil,26-12-2025,Yes,48,Not Completed,Not Completed,Not Ready
S0104,Student_104,VIT,ME,09-11-2025,Yes,92,Completed,Completed,Ready
S0105,Student_105,VIT,IT,18-04-2025,Yes,90,Completed,Completed,Ready
S0106,Student_106,XYZ Institute,ECE,30-01-2025,Yes,85,Completed,Completed,Ready
S0107,Student_107,VIT,EEE,05-11-2025,Yes,95,Completed,Completed,Not Ready
S0108,Student_108,XYZ Institute,AI&ML,20-05-2025,Yes,76,Completed,Completed,Ready
S0109,Student_109,GITAM,IT,20-10-2025,No,79,Completed,Not Completed,Not Ready
S0110,Student_110,XYZ Institute,ME,24-03-2025,Yes,67,Completed,Completed,Not Ready
S0111,Student_111,JNTU,EEE,15-06-2025,Yes,81,Completed,Completed,Ready
S0112,Student_112,ABC College,CSE,26-09-2025,Yes,84,Completed,Completed,Ready
S0113,Student_113,GITAM,ME,21-01-2025,Yes,83,Completed,Completed,Not Ready
S0114,Student_114,VIT,Civil,27-05-2025,No,75,Completed,Not Completed,Not Ready
S0115,Student_115,SVEC,CSE,30-11-2025,Yes,69,Completed,Completed,Not Ready
S0116,Student_116,JNTU,CSE,16-10-2025,Yes,77,Completed,Completed,Ready
S0117,Student_117,SVEC,ECE,29-09-2025,Yes,69,Completed,Completed,Not Ready
S0118,Student_118,ABC College,Civil,05-06-2025,Yes,88,Completed,Completed,Ready
S0119,Student_119,GITAM,IT,27-08-2025,Yes,79,Completed,Completed,Ready
S0120,Student_120,XYZ Institute,IT,03-12-2025,Yes,65,Completed,Completed,Not Ready
S0121,Student_121,VIT,Civil,23-01-2025,Yes,63,Completed,Not Completed,Not Ready
S0122,Student_122,JNTU,ME,18-05-2025,Yes,90,Completed,Completed,Ready
S0123,Student_123,VIT,CSE,15-09-2025,No,66,Completed,Not Completed,Not Ready
S0124,Student_124,XYZ Institute,Civil,30-06-2025,Yes,75,Completed,Completed,Ready
S0125,Student_125,GITAM,ME,10-02-2025,Yes,54,Completed,Not Completed,Not Ready
S0126,Student_126,SVEC,EEE,01-04-2025,No,68,Completed,Not Completed,Not Ready
S0127,Student_127,SVEC,EEE,28-04-2025,Yes,69,Completed,Completed,Not Ready
S0128,Student_128,JNTU,AI&ML,13-04-2025,Yes,93,Completed,Completed,Ready
S0129,Student_129,XYZ Institute,ME,08-12-2025,Yes,82,Completed,Completed,Ready
S0130,Student_130,SVEC,ME,28-01-2025,Yes,55,Completed,Not Completed,Not Ready
S0131,Student_131,XYZ Institute,AI&DS,20-06-2025,Yes,89,Completed,Completed,Ready
S0132,Student_132,JNTU,EEE,29-08-2025,Yes,74,Completed,Completed,Not Ready
S0133,Student_133,SVEC,IT,20-10-2025,Yes,86,Completed,Completed,Ready
S0134,Student_134,GITAM,ME,31-03-2025,Yes,48,Not Completed,Not Completed,Not Ready
S0135,Student_135,SVEC,ECE,13-05-2025,Yes,79,Completed,Completed,Ready
S0136,Student_136,XYZ Institute,ME,11-03-2025,Yes,73,Completed,Completed,Not Ready
S0137,Student_137,ABC College,AI&ML,07-05-2025,Yes,60,Completed,Not Completed,Not Ready
S0138,Student_138,XYZ Institute,EEE,25-05-2025,Yes,48,Not Completed,Not Completed,Not Ready
S0139,Student_139,VIT,AI&DS,21-05-2025,Yes,83,Completed,Not Completed,Not Ready
S0140,Student_140,ABC College,EEE,17-10-2025,Yes,86,Completed,Completed,Ready
S0141,Student_141,SVEC,Civil,20-10-2025,Yes,86,Completed,Completed,Ready
S0142,Student_142,VIT,ME,27-01-2025,Yes,71,Completed,Completed,Not Ready
S0143,Student_143,XYZ Institute,IT,01-07-2025,Yes,52,Completed,Not Completed,Not Ready
S0144,Student_144,GITAM,ECE,11-12-2025,No,60,Completed,Not Completed,Not Ready
S0145,Student_145,XYZ Institute,CSE,05-01-2025,Yes,54,Completed,Not Completed,Not Ready
S0146,Student_146,VIT,ME,06-11-2025,Yes,45,Not Completed,Not Completed,Not Ready
S0147,Student_147,ABC College,ECE,09-01-2025,Yes,59,Completed,Not Completed,Not Ready
S0148,Student_148,SVEC,ECE,14-06-2025,Yes,78,Completed,Completed,Ready
S0149,Student_149,JNTU,ECE,11-08-2025,No,94,Completed,Not Completed,Not Ready
S0150,Student_150,SVEC,IT,01-05-2025,Yes,47,Not Completed,Not Completed,Not Ready
S0151,Student_151,VIT,Civil,11-05-2025,Yes,86,Completed,Completed,Ready
S0152,Student_152,ABC College,CSE,11-04-2025,Yes,62,Completed,Not Completed,Not Ready
S0153,Student_153,VIT,AI&DS,06-09-2025,No,94,Completed,Not Completed,Not Ready
S0154,Student_154,GITAM,Civil,06-10-2025,Yes,80,Completed,Completed,Ready
S0155,Student_155,VIT,Civil,08-10-2025,Yes,63,Completed,Not Completed,Not Ready
S0156,Student_156,XYZ Institute,CSE,25-05-2025,Yes,84,Completed,Completed,Ready
S0157,Student_157,VIT,AI&DS,03-02-2025,Yes,63,Completed,Not Completed,Not Ready
S0158,Student_158,GITAM,ECE,22-07-2025,Yes,54,Completed,Not Completed,Not Ready
S0159,Student_159,VIT,ME,22-07-2025,Yes,95,Completed,Completed,Ready
S0160,Student_160,GITAM,AI&DS,09-03-2025,Yes,66,Completed,Completed,Not Ready
S0161,Student_161,VIT,ECE,29-01-2025,Yes,52,Completed,Not Completed,Not Ready
S0162,Student_162,ABC College,IT,17-10-2025,Yes,56,Completed,Not Completed,Not Ready
S0163,Student_163,JNTU,AI&ML,03-10-2025,Yes,59,Completed,Not Completed,Not Ready
S0164,Student_164,GITAM,ECE,25-04-2025,Yes,89,Completed,Completed,Not Ready
S0165,Student_165,SVEC,Civil,25-02-2025,Yes,90,Completed,Completed,Ready
S0166,Student_166,JNTU,Civil,29-11-2025,Yes,61,Completed,Not Completed,Not Ready
S0167,Student_167,GITAM,ME,15-09-2025,Yes,91,Completed,Completed,Ready
S0168,Student_168,XYZ Institute,IT,04-03-2025,Yes,65,Completed,Completed,Not Ready
S0169,Student_169,ABC College,ME,14-02-2025,No,46,Not Completed,Not Completed,Not Ready
S0170,Student_170,SVEC,IT,25-03-2025,Yes,56,Completed,Not Completed,Not Ready
S0171,Student_171,GITAM,EEE,11-11-2025,No,70,Completed,Not Completed,Not Ready
S0172,Student_172,GITAM,ME,20-05-2025,Yes,60,Completed,Not Completed,Not Ready
S0173,Student_173,SVEC,CSE,01-11-2025,Yes,56,Completed,Not Completed,Not Ready
S0174,Student_174,XYZ Institute,ECE,15-09-2025,Yes,48,Not Completed,Not Completed,Not Ready
S0175,Student_175,GITAM,ECE,11-05-2025,No,84,Completed,Not Completed,Not Ready
S0176,Student_176,SVEC,EEE,29-01-2025,Yes,75,Completed,Not Completed,Not Ready
S0177,Student_177,GITAM,CSE,09-11-2025,Yes,92,Completed,Completed,Not Ready
S0178,Student_178,VIT,Civil,13-06-2025,No,91,Completed,Not Completed,Not Ready
S0179,Student_179,ABC College,CSE,28-06-2025,Yes,73,Completed,Completed,Not Ready
S0180,Student_180,JNTU,CSE,20-05-2025,Yes,59,Completed,Not Completed,Not Ready
S0181,Student_181,GITAM,ME,24-12-2025,No,69,Completed,Not Completed,Not Ready
S0182,Student_182,VIT,EEE,28-05-2025,Yes,47,Not Completed,Not Completed,Not Ready
S0183,Student_183,ABC College,ECE,06-03-2025,Yes,49,Not Completed,Not Completed,Not Ready
S0184,Student_184,XYZ Institute,AI&ML,28-07-2025,Yes,76,Completed,Completed,Ready
S0185,Student_185,JNTU,AI&DS,06-10-2025,Yes,76,Completed,Completed,Not Ready
S0186,Student_186,GITAM,Civil,10-10-2025,Yes,71,Completed,Completed,Not Ready
S0187,Student_187,VIT,AI&DS,31-07-2025,Yes,52,Completed,Not Completed,Not Ready
S0188,Student_188,VIT,IT,26-04-2025,Yes,66,Completed,Completed,Not Ready
S0189,Student_189,JNTU,Civil,30-05-2025,Yes,82,Completed,Not Completed,Not Ready
S0190,Student_190,JNTU,AI&DS,04-09-2025,Yes,94,Completed,Completed,Not Ready
S0191,Student_191,SVEC,AI&DS,08-03-2025,Yes,94,Completed,Completed,Not Ready
S0192,Student_192,GITAM,ME,01-07-2025,Yes,94,Completed,Completed,Ready
S0193,Student_193,VIT,Civil,02-08-2025,Yes,85,Completed,Not Completed,Not Ready
S0194,Student_194,VIT,EEE,03-08-2025,Yes,98,Completed,Not Completed,Not Ready
S0195,Student_195,GITAM,AI&DS,06-04-2025,Yes,61,Completed,Not Completed,Not Ready
S0196,Student_196,XYZ Institute,CSE,26-06-2025,Yes,92,Completed,Completed,Ready
S0197,Student_197,XYZ Institute,Civil,29-06-2025,Yes,53,Completed,Not Completed,Not Ready
S0198,Student_198,XYZ Institute,EEE,21-12-2025,Yes,47,Not Completed,Not Completed,Not Ready
S0199,Student_199,VIT,ECE,11-08-2025,Yes,70,Completed,Completed,Not Ready
S0200,Student_200,JNTU,EEE,20-05-2025,Yes,46,Not Completed,Not Completed,Not Ready
S0201,Student_201,JNTU,AI&DS,09-10-2025,Yes,58,Completed,Not Completed,Not Ready
S0202,Student_202,GITAM,AI&DS,12-11-2025,No,66,Completed,Not Completed,Not Ready
S0203,Student_203,SVEC,AI&ML,23-05-2025,Yes,61,Completed,Not Completed,Not Ready
S0204,Student_204,GITAM,EEE,13-06-2025,Yes,52,Completed,Not Completed,Not Ready
S0205,Student_205,XYZ Institute,Civil,18-10-2025,Yes,95,Completed,Completed,Ready
S0206,Student_206,VIT,ECE,06-05-2025,Yes,97,Completed,Not Completed,Not Ready
S0207,Student_207,ABC College,AI&ML,24-12-2025,Yes,50,Completed,Not Completed,Not Ready
S0208,Student_208,JNTU,EEE,18-01-2025,Yes,95,Completed,Completed,Ready
S0209,Student_209,VIT,CSE,29-06-2025,Yes,75,Completed,Completed,Ready
S0210,Student_210,VIT,IT,14-08-2025,Yes,98,Completed,Completed,Ready
S0211,Student_211,SVEC,AI&DS,14-09-2025,No,93,Completed,Not Completed,Not Ready
S0212,Student_212,GITAM,EEE,20-03-2025,No,69,Completed,Not Completed,Not Ready
S0213,Student_213,GITAM,AI&ML,03-09-2025,No,65,Completed,Not Completed,Not Ready
S0214,Student_214,SVEC,ME,01-10-2025,Yes,65,Completed,Completed,Not Ready
S0215,Student_215,GITAM,ME,19-03-2025,Yes,65,Completed,Not Completed,Not Ready
S0216,Student_216,ABC College,CSE,31-10-2025,Yes,85,Completed,Completed,Ready
S0217,Student_217,SVEC,ECE,03-07-2025,Yes,57,Completed,Not Completed,Not Ready
S0218,Student_218,GITAM,EEE,10-07-2025,Yes,86,Completed,Completed,Ready
S0219,Student_219,JNTU,ECE,04-04-2025,Yes,50,Completed,Not Completed,Not Ready
S0220,Student_220,ABC College,AI&DS,22-04-2025,Yes,61,Completed,Not Completed,Not Ready
S0221,Student_221,SVEC,CSE,28-09-2025,Yes,66,Completed,Completed,Not Ready
S0222,Student_222,SVEC,EEE,10-11-2025,Yes,77,Completed,Completed,Ready
S0223,Student_223,XYZ Institute,CSE,23-07-2025,Yes,97,Completed,Completed,Ready
S0224,Student_224,XYZ Institute,AI&ML,07-08-2025,Yes,60,Completed,Not Completed,Not Ready
S0225,Student_225,ABC College,AI&ML,24-06-2025,Yes,96,Completed,Completed,Ready
S0226,Student_226,XYZ Institute,IT,15-04-2025,Yes,63,Completed,Not Completed,Not Ready
S0227,Student_227,VIT,CSE,21-05-2025,Yes,46,Not Completed,Not Completed,Not Ready
S0228,Student_228,ABC College,CSE,30-09-2025,Yes,55,Completed,Not Completed,Not Ready
S0229,Student_229,SVEC,CSE,05-07-2025,No,46,Not Completed,Not Completed,Not Ready
S0230,Student_230,VIT,ME,28-11-2025,Yes,56,Completed,Not Completed,Not Ready
S0231,Student_231,VIT,CSE,06-08-2025,No,58,Completed,Not Completed,Not Ready
S0232,Student_232,SVEC,AI&ML,11-03-2025,Yes,79,Completed,Completed,Not Ready
S0233,Student_233,VIT,ECE,28-12-2025,Yes,46,Not Completed,Not Completed,Not Ready
S0234,Student_234,JNTU,IT,16-03-2025,Yes,50,Completed,Not Completed,Not Ready
S0235,Student_235,JNTU,AI&ML,06-06-2025,Yes,63,Completed,Not Completed,Not Ready
S0236,Student_236,XYZ Institute,CSE,26-08-2025,Yes,87,Completed,Completed,Ready
S0237,Student_237,ABC College,CSE,26-12-2025,Yes,59,Completed,Not Completed,Not Ready
S0238,Student_238,JNTU,AI&ML,29-09-2025,Yes,89,Completed,Completed,Not Ready
S0239,Student_239,ABC College,AI&ML,22-04-2025,Yes,48,Not Completed,Not Completed,Not Ready
S0240,Student_240,GITAM,IT,22-10-2025,Yes,88,Completed,Completed,Not Ready
S0241,Student_241,JNTU,CSE,24-03-2025,No,90,Completed,Not Completed,Not Ready
S0242,Student_242,VIT,ECE,03-12-2025,Yes,91,Completed,Completed,Ready
S0243,Student_243,GITAM,CSE,20-09-2025,Yes,68,Completed,Completed,Not Ready
S0244,Student_244,JNTU,Civil,08-08-2025,No,91,Completed,Not Completed,Not Ready
S0245,Student_245,VIT,EEE,18-10-2025,No,60,Completed,Not Completed,Not Ready
S0246,Student_246,GITAM,Civil,12-02-2025,Yes,50,Completed,Not Completed,Not Ready
S0247,Student_247,GITAM,AI&ML,16-09-2025,Yes,76,Completed,Completed,Ready
S0248,Student_248,SVEC,ME,03-12-2025,No,96,Completed,Not Completed,Not Ready
S0249,Student_249,XYZ Institute,CSE,25-08-2025,Yes,53,Completed,Not Completed,Not Ready
S0250,Student_250,JNTU,AI&DS,22-11-2025,Yes,78,Completed,Completed,Ready
S0251,Student_251,GITAM,AI&DS,01-06-2025,Yes,45,Not Completed,Not Completed,Not Ready
S0252,Student_252,VIT,ECE,24-04-2025,No,70,Completed,Not Completed,Not Ready
S0253,Student_253,GITAM,Civil,02-04-2025,Yes,48,Not Completed,Not Completed,Not Ready
S0254,Student_254,XYZ Institute,IT,01-05-2025,Yes,48,Not Completed,Not Completed,Not Ready
S0255,Student_255,JNTU,CSE,08-10-2025,Yes,74,Completed,Completed,Not Ready
S0256,Student_256,VIT,EEE,09-11-2025,Yes,80,Completed,Completed,Ready
S0257,Student_257,VIT,ME,23-09-2025,No,70,Completed,Not Completed,Not Ready
S0258,Student_258,JNTU,EEE,31-07-2025,Yes,88,Completed,Completed,Ready
S0259,Student_259,SVEC,Civil,20-03-2025,Yes,94,Completed,Completed,Ready
S0260,Student_260,GITAM,ME,10-12-2025,Yes,63,Completed,Not Completed,Not Ready
S0261,Student_261,SVEC,EEE,04-06-2025,Yes,78,Completed,Completed,Ready
S0262,Student_262,GITAM,AI&ML,19-02-2025,Yes,93,Completed,Completed,Ready
S0263,Student_263,GITAM,ECE,19-08-2025,No,91,Completed,Not Completed,Not Ready
S0264,Student_264,ABC College,Civil,18-05-2025,Yes,73,Completed,Completed,Not Ready
S0265,Student_265,VIT,EEE,24-07-2025,Yes,51,Completed,Not Completed,Not Ready
S0266,Student_266,ABC College,AI&DS,26-11-2025,Yes,94,Completed,Not Completed,Not Ready
S0267,Student_267,XYZ Institute,EEE,29-09-2025,Yes,52,Completed,Not Completed,Not Ready
S0268,Student_268,VIT,Civil,02-04-2025,Yes,67,Completed,Completed,Not Ready
S0269,Student_269,VIT,IT,15-05-2025,Yes,60,Completed,Not Completed,Not Ready
S0270,Student_270,VIT,ME,13-09-2025,Yes,93,Completed,Completed,Ready
S0271,Student_271,SVEC,AI&ML,19-06-2025,Yes,66,Completed,Completed,Not Ready
S0272,Student_272,SVEC,IT,24-10-2025,Yes,50,Completed,Not Completed,Not Ready
S0273,Student_273,ABC College,AI&ML,12-04-2025,Yes,46,Not Completed,Not Completed,Not Ready
S0274,Student_274,GITAM,AI&ML,28-07-2025,Yes,45,Not Completed,Not Completed,Not Ready
S0275,Student_275,XYZ Institute,ECE,30-11-2025,Yes,49,Not Completed,Not Completed,Not Ready
S0276,Student_276,SVEC,Civil,07-02-2025,Yes,62,Completed,Not Completed,Not Ready
S0277,Student_277,JNTU,AI&DS,12-07-2025,Yes,88,Completed,Not Completed,Not Ready
S0278,Student_278,XYZ Institute,Civil,29-01-2025,Yes,78,Completed,Completed,Ready
S0279,Student_279,JNTU,Civil,26-09-2025,Yes,51,Completed,Not Completed,Not Ready
S0280,Student_280,XYZ Institute,AI&DS,15-07-2025,Yes,84,Completed,Completed,Ready
S0281,Student_281,JNTU,ME,21-10-2025,Yes,67,Completed,Completed,Not Ready
S0282,Student_282,JNTU,IT,28-07-2025,Yes,83,Completed,Completed,Ready
S0283,Student_283,XYZ Institute,ME,08-12-2025,No,60,Completed,Not Completed,Not Ready
S0284,Student_284,VIT,EEE,17-10-2025,Yes,82,Completed,Completed,Ready
S0285,Student_285,ABC College,CSE,04-02-2025,Yes,98,Completed,Not Completed,Not Ready
S0286,Student_286,VIT,ME,22-04-2025,Yes,47,Not Completed,Not Completed,Not Ready
S0287,Student_287,JNTU,ECE,13-07-2025,Yes,64,Completed,Not Completed,Not Ready
S0288,Student_288,VIT,Civil,06-03-2025,No,89,Completed,Not Completed,Not Ready
S0289,Student_289,VIT,EEE,10-09-2025,Yes,75,Completed,Completed,Ready
S0290,Student_290,GITAM,CSE,09-06-2025,Yes,91,Completed,Completed,Ready
S0291,Student_291,JNTU,EEE,20-04-2025,Yes,93,Completed,Not Completed,Not Ready
S0292,Student_292,GITAM,AI&DS,03-08-2025,Yes,69,Completed,Completed,Not Ready
S0293,Student_293,ABC College,EEE,05-09-2025,Yes,74,Completed,Completed,Not Ready
S0294,Student_294,SVEC,CSE,16-12-2025,No,76,Completed,Not Completed,Not Ready
S0295,Student_295,ABC College,ME,15-01-2025,Yes,86,Completed,Completed,Ready
S0296,Student_296,SVEC,AI&ML,29-09-2025,No,87,Completed,Not Completed,Not Ready
S0297,Student_297,GITAM,CSE,04-02-2025,Yes,83,Completed,Completed,Ready
S0298,Student_298,SVEC,Civil,30-05-2025,No,78,Completed,Not Completed,Not Ready
S0299,Student_299,VIT,CSE,26-06-2025,Yes,55,Completed,Not Completed,Not Ready
S0300,Student_300,VIT,AI&DS,15-04-2025,Yes,74,Completed,Completed,Not Ready
S0301,Student_301,ABC College,IT,09-10-2025,Yes,60,Completed,Not Completed,Not Ready
