Student ID,Student Name,College Name,Department,Registration Date,Active Status,Assessment Score,Course Completion Status,Placement Readiness Status
S0050,Student_50,VIT,ECE,2025-12-21,Yes,75,Completed,Not Ready
S0051,Student_51,ABC College,IT,2025-02-02,Yes,46,Not Completed,Not Ready
S0052,Student_52,SVEC,AI&ML,2025-11-10,Yes,74,Completed,Not Ready
S0053,Student_53,XYZ Institute,Civil,2025-03-28,Yes,55,Not Completed,Not Ready
S0054,Student_54,GITAM,CSE,2025-03-28,No,88,Not Completed,Not Ready
S0055,Student_55,VIT,AI&DS,2025-01-06,Yes,47,Not Completed,Not Ready
S0056,Student_56,VIT,EEE,2025-02-25,Yes,51,Not Completed,Not Ready
S0057,Student_57,ABC College,AI&DS,2025-04-21,No,61,Not Completed,Not Ready
S0058,Student_58,GITAM,AI&DS,2025-04-22,Yes,51,Not Completed,Not Ready
S0059,Student_59,JNTU,AI&ML,2025-07-01,Yes,55,Not Completed,Not Ready
S0060,Student_60,GITAM,IT,2025-04-07,Yes,77,Completed,Ready
S0061,Student_61,VIT,AI&DS,2025-09-08,Yes,88,Completed,Ready
S0062,Student_62,GITAM,AI&ML,2025-02-20,Yes,53,Not Completed,Not Ready
S0063,Student_63,GITAM,IT,2025-08-30,Yes,56,Not Completed,Not Ready
S0064,Student_64,SVEC,AI&ML,2025-11-23,Yes,65,Completed,Not Ready
S0065,Student_65,VIT,IT,2025-08-06,Yes,50,Not Completed,Not Ready
S0066,Student_66,VIT,ECE,2025-03-12,Yes,80,Completed,Ready
S0067,Student_67,SVEC,Civil,2025-04-19,Yes,56,Not Completed,Not Ready
S0068,Student_68,XYZ Institute,EEE,2025-11-08,Yes,69,Completed,Not Ready
S0069,Student_69,JNTU,Civil,2025-11-16,Yes,61,Not Completed,Not Ready
S0070,Student_70,XYZ Institute,AI&DS,2025-11-26,Yes,52,Not Completed,Not Ready
S0071,Student_71,VIT,ECE,2025-08-22,No,49,Not Completed,Not Ready
S0072,Student_72,JNTU,EEE,2025-11-04,Yes,61,Not Completed,Not Ready
S0073,Student_73,GITAM,Civil,2025-11-09,Yes,55,Not Completed,Not Ready
S0074,Student_74,XYZ Institute,AI&ML,2025-11-13,Yes,65,Not Completed,Not Ready
S0075,Student_75,SVEC,IT,2025-01-26,Yes,86,Completed,Ready
S0076,Student_76,JNTU,CSE,2025-03-26,Yes,73,Completed,Not Ready
S0077,Student_77,XYZ Institute,EEE,2025-10-01,Yes,73,Completed,Not Ready
S0078,Student_78,SVEC,ECE,2025-11-21,Yes,54,Not Completed,Not Ready
S0079,Student_79,GITAM,IT,2025-02-17,No,83,Not Completed,Not Ready
S0080,Student_80,SVEC,AI&ML,2025-10-17,Yes,90,Completed,Ready
S0081,Student_81,XYZ Institute,ECE,2025-11-16,Yes,86,Completed,Ready
S0082,Student_82,ABC College,ME,2025-05-05,Yes,67,Completed,Not Ready
S0083,Student_83,GITAM,Civil,2025-02-07,Yes,65,Completed,Not Ready
S0084,Student_84,JNTU,ME,2025-01-12,No,89,Not Completed,Not Ready
S0085,Student_85,GITAM,ME,2025-10-17,Yes,52,Not Completed,Not Ready
S0086,Student_86,VIT,AI&ML,2025-02-16,Yes,52,Not Completed,Not Ready
S0087,Student_87,VIT,AI&DS,2025-05-17,Yes,94,Not Completed,Not Ready
S0088,Student_88,JNTU,AI&ML,2025-02-09,Yes,51,Not Completed,Not Ready
S0089,Student_89,SVEC,Civil,2025-12-13,Yes,69,Completed,Not Ready
S0090,Student_90,GITAM,AI&ML,2025-10-02,Yes,56,Not Completed,Not Ready
S0091,Student_91,ABC College,CSE,2025-04-05,Yes,70,Completed,Not Ready
S0092,Student_92,GITAM,EEE,2025-06-13,Yes,83,Not Completed,Not Ready
S0093,Student_93,VIT,AI&ML,2025-04-16,No,92,Not Completed,Not Ready
S0094,Student_94,SVEC,ECE,2025-01-23,Yes,66,Not Completed,Not Ready
S0095,Student_95,GITAM,CSE,2025-12-27,Yes,72,Completed,Not Ready
S0096,Student_96,SVEC,AI&DS,2025-08-10,Yes,71,Completed,Not Ready
S0097,Student_97,VIT,EEE,2025-04-06,Yes,73,Completed,Not Ready
S0098,Student_98,JNTU,IT,2025-06-25,Yes,73,Completed,Not Ready
S0099,Student_99,XYZ Institute,AI&DS,2025-05-20,Yes,54,Not Completed,Not Ready
S0100,Student_100,GITAM,CSE,2025-07-18,No,97,Not Completed,Not Ready
S0101,Student_101,XYZ Institute,ECE,2025-09-05,Yes,97,Completed,Ready
S0102,Student_102,SVEC,AI&ML,2025-10-17,Yes,47,Not Completed,Not Ready
S0103,Student_103,GITAM,Civil,2025-12-26,Yes,48,Not Completed,Not Ready
S0104,Student_104,VIT,ME,2025-11-09,Yes,92,Completed,Ready
S0105,Student_105,VIT,IT,2025-04-18,Yes,90,Completed,Ready
S0106,Student_106,XYZ Institute,ECE,2025-01-30,Yes,85,Completed,Ready
S0107,Student_107,VIT,EEE,2025-11-05,Yes,95,Completed,Not Ready
S0108,Student_108,XYZ Institute,AI&ML,2025-05-20,Yes,76,Completed,Ready
S0109,Student_109,GITAM,IT,2025-10-20,No,79,Not Completed,Not Ready
S0110,Student_110,XYZ Institute,ME,2025-03-24,Yes,67,Completed,Not Ready
S0111,Student_111,JNTU,EEE,2025-06-15,Yes,81,Completed,Ready
S0112,Student_112,ABC College,CSE,2025-09-26,Yes,84,Completed,Ready
S0113,Student_113,GITAM,ME,2025-01-21,Yes,83,Completed,Not Ready
S0114,Student_114,VIT,Civil,2025-05-27,No,75,Not Completed,Not Ready
S0115,Student_115,SVEC,CSE,2025-11-30,Yes,69,Completed,Not Ready
S0116,Student_116,JNTU,CSE,2025-10-16,Yes,77,Completed,Ready
S0117,Student_117,SVEC,ECE,2025-09-29,Yes,69,Completed,Not Ready
S0118,Student_118,ABC College,Civil,2025-06-05,Yes,88,Completed,Ready
S0119,Student_119,GITAM,IT,2025-08-27,Yes,79,Completed,Ready
S0120,Student_120,XYZ Institute,IT,2025-12-03,Yes,65,Completed,Not Ready
S0121,Student_121,VIT,Civil,2025-01-23,Yes,63,Not Completed,Not Ready
S0122,Student_122,JNTU,ME,2025-05-18,Yes,90,Completed,Ready
S0123,Student_123,VIT,CSE,2025-09-15,No,66,Not Completed,Not Ready
S0124,Student_124,XYZ Institute,Civil,2025-06-30,Yes,75,Completed,Ready
S0125,Student_125,GITAM,ME,2025-02-10,Yes,54,Not Completed,Not Ready
S0126,Student_126,SVEC,EEE,2025-04-01,No,68,Not Completed,Not Ready
S0127,Student_127,SVEC,EEE,2025-04-28,Yes,69,Completed,Not Ready
S0128,Student_128,JNTU,AI&ML,2025-04-13,Yes,93,Completed,Ready
S0129,Student_129,XYZ Institute,ME,2025-12-08,Yes,82,Completed,Ready
S0130,Student_130,SVEC,ME,2025-01-28,Yes,55,Not Completed,Not Ready
S0131,Student_131,XYZ Institute,AI&DS,2025-06-20,Yes,89,Completed,Ready
S0132,Student_132,JNTU,EEE,2025-08-29,Yes,74,Completed,Not Ready
S0133,Student_133,SVEC,IT,2025-10-20,Yes,86,Completed,Ready
S0134,Student_134,GITAM,ME,2025-03-31,Yes,48,Not Completed,Not Ready
S0135,Student_135,SVEC,ECE,2025-05-13,Yes,79,Completed,Ready
S0136,Student_136,XYZ Institute,ME,2025-03-11,Yes,73,Completed,Not Ready
S0137,Student_137,ABC College,AI&ML,2025-05-07,Yes,60,Not Completed,Not Ready
S0138,Student_138,XYZ Institute,EEE,2025-05-25,Yes,48,Not Completed,Not Ready
S0139,Student_139,VIT,AI&DS,2025-05-21,Yes,83,Not Completed,Not Ready
S0140,Student_140,ABC College,EEE,2025-10-17,Yes,86,Completed,Ready
S0141,Student_141,SVEC,Civil,2025-10-20,Yes,86,Completed,Ready
S0142,Student_142,VIT,ME,2025-01-27,Yes,71,Completed,Not Ready
S0143,Student_143,XYZ Institute,IT,2025-07-01,Yes,52,Not Completed,Not Ready
S0144,Student_144,GITAM,ECE,2025-12-11,No,60,Not Completed,Not Ready
S0145,Student_145,XYZ Institute,CSE,2025-01-05,Yes,54,Not Completed,Not Ready
S0146,Student_146,VIT,ME,2025-11-06,Yes,45,Not Completed,Not Ready
S0147,Student_147,ABC College,ECE,2025-01-09,Yes,59,Not Completed,Not Ready
S0148,Student_148,SVEC,ECE,2025-06-14,Yes,78,Completed,Ready
S0149,Student_149,JNTU,ECE,2025-08-11,No,94,Not Completed,Not Ready
S0150,Student_150,SVEC,IT,2025-05-01,Yes,47,Not Completed,Not Ready
S0151,Student_151,VIT,Civil,2025-05-11,Yes,86,Completed,Ready
S0152,Student_152,ABC College,CSE,2025-04-11,Yes,62,Not Completed,Not Ready
S0153,Student_153,VIT,AI&DS,2025-09-06,No,94,Not Completed,Not Ready
S0154,Student_154,GITAM,Civil,2025-10-06,Yes,80,Completed,Ready
S0155,Student_155,VIT,Civil,2025-10-08,Yes,63,Not Completed,Not Ready
S0156,Student_156,XYZ Institute,CSE,2025-05-25,Yes,84,Completed,Ready
S0157,Student_157,VIT,AI&DS,2025-02-03,Yes,63,Not Completed,Not Ready
S0158,Student_158,GITAM,ECE,2025-07-22,Yes,54,Not Completed,Not Ready
S0159,Student_159,VIT,ME,2025-07-22,Yes,95,Completed,Ready
S0160,Student_160,GITAM,AI&DS,2025-03-09,Yes,66,Completed,Not Ready
S0161,Student_161,VIT,ECE,2025-01-29,Yes,52,Not Completed,Not Ready
S0162,Student_162,ABC College,IT,2025-10-17,Yes,56,Not Completed,Not Ready
S0163,Student_163,JNTU,AI&ML,2025-10-03,Yes,59,Not Completed,Not Ready
S0164,Student_164,GITAM,ECE,2025-04-25,Yes,89,Completed,Not Ready
S0165,Student_165,SVEC,Civil,2025-02-25,Yes,90,Completed,Ready
S0166,Student_166,JNTU,Civil,2025-11-29,Yes,61,Not Completed,Not Ready
S0167,Student_167,GITAM,ME,2025-09-15,Yes,91,Completed,Ready
S0168,Student_168,XYZ Institute,IT,2025-03-04,Yes,65,Completed,Not Ready
S0169,Student_169,ABC College,ME,2025-02-14,No,46,Not Completed,Not Ready
S0170,Student_170,SVEC,IT,2025-03-25,Yes,56,Not Completed,Not Ready
S0171,Student_171,GITAM,EEE,2025-11-11,No,70,Not Completed,Not Ready
S0172,Student_172,GITAM,ME,2025-05-20,Yes,60,Not Completed,Not Ready
S0173,Student_173,SVEC,CSE,2025-11-01,Yes,56,Not Completed,Not Ready
S0174,Student_174,XYZ Institute,ECE,2025-09-15,Yes,48,Not Completed,Not Ready
S0175,Student_175,GITAM,ECE,2025-05-11,No,84,Not Completed,Not Ready
S0176,Student_176,SVEC,EEE,2025-01-29,Yes,75,Not Completed,Not Ready
S0177,Student_177,GITAM,CSE,2025-11-09,Yes,92,Completed,Not Ready
S0178,Student_178,VIT,Civil,2025-06-13,No,91,Not Completed,Not Ready
S0179,Student_179,ABC College,CSE,2025-06-28,Yes,73,Completed,Not Ready
S0180,Student_180,JNTU,CSE,2025-05-20,Yes,59,Not Completed,Not Ready
S0181,Student_181,GITAM,ME,2025-12-24,No,69,Not Completed,Not Ready
S0182,Student_182,VIT,EEE,2025-05-28,Yes,47,Not Completed,Not Ready
S0183,Student_183,ABC College,ECE,2025-03-06,Yes,49,Not Completed,Not Ready
S0184,Student_184,XYZ Institute,AI&ML,2025-07-28,Yes,76,Completed,Ready
S0185,Student_185,JNTU,AI&DS,2025-10-06,Yes,76,Completed,Not Ready
S0186,Student_186,GITAM,Civil,2025-10-10,Yes,71,Completed,Not Ready
S0187,Student_187,VIT,AI&DS,2025-07-31,Yes,52,Not Completed,Not Ready
S0188,Student_188,VIT,IT,2025-04-26,Yes,66,Completed,Not Ready
S0189,Student_189,JNTU,Civil,2025-05-30,Yes,82,Not Completed,Not Ready
S0190,Student_190,JNTU,AI&DS,2025-09-04,Yes,94,Completed,Not Ready
S0191,Student_191,SVEC,AI&DS,2025-03-08,Yes,94,Completed,Not Ready
S0192,Student_192,GITAM,ME,2025-07-01,Yes,94,Completed,Ready
S0193,Student_193,VIT,Civil,2025-08-02,Yes,85,Not Completed,Not Ready
S0194,Student_194,VIT,EEE,2025-08-03,Yes,98,Not Completed,Not Ready
S0195,Student_195,GITAM,AI&DS,2025-04-06,Yes,61,Not Completed,Not Ready
S0196,Student_196,XYZ Institute,CSE,2025-06-26,Yes,92,Completed,Ready
S0197,Student_197,XYZ Institute,Civil,2025-06-29,Yes,53,Not Completed,Not Ready
S0198,Student_198,XYZ Institute,EEE,2025-12-21,Yes,47,Not Completed,Not Ready
S0199,Student_199,VIT,ECE,2025-08-11,Yes,70,Completed,Not Ready
S0200,Student_200,JNTU,EEE,2025-05-20,Yes,46,Not Completed,Not Ready
S0201,Student_201,JNTU,AI&DS,2025-10-09,Yes,58,Not Completed,Not Ready
S0202,Student_202,GITAM,AI&DS,2025-11-12,No,66,Not Completed,Not Ready
S0203,Student_203,SVEC,AI&ML,2025-05-23,Yes,61,Not Completed,Not Ready
S0204,Student_204,GITAM,EEE,2025-06-13,Yes,52,Not Completed,Not Ready
S0205,Student_205,XYZ Institute,Civil,2025-10-18,Yes,95,Completed,Ready
S0206,Student_206,VIT,ECE,2025-05-06,Yes,97,Not Completed,Not Ready
S0207,Student_207,ABC College,AI&ML,2025-12-24,Yes,50,Not Completed,Not Ready
S0208,Student_208,JNTU,EEE,2025-01-18,Yes,95,Completed,Ready
S0209,Student_209,VIT,CSE,2025-06-29,Yes,75,Completed,Ready
S0210,Student_210,VIT,IT,2025-08-14,Yes,98,Completed,Ready
S0211,Student_211,SVEC,AI&DS,2025-09-14,No,93,Not Completed,Not Ready
S0212,Student_212,GITAM,EEE,2025-03-20,No,69,Not Completed,Not Ready
S0213,Student_213,GITAM,AI&ML,2025-09-03,No,65,Not Completed,Not Ready
S0214,Student_214,SVEC,ME,2025-10-01,Yes,65,Completed,Not Ready
S0215,Student_215,GITAM,ME,2025-03-19,Yes,65,Not Completed,Not Ready
S0216,Student_216,ABC College,CSE,2025-10-31,Yes,85,Completed,Ready
S0217,Student_217,SVEC,ECE,2025-07-03,Yes,57,Not Completed,Not Ready
S0218,Student_218,GITAM,EEE,2025-07-10,Yes,86,Completed,Ready
S0219,Student_219,JNTU,ECE,2025-04-04,Yes,50,Not Completed,Not Ready
S0220,Student_220,ABC College,AI&DS,2025-04-22,Yes,61,Not Completed,Not Ready
S0221,Student_221,SVEC,CSE,2025-09-28,Yes,66,Completed,Not Ready
S0222,Student_222,SVEC,EEE,2025-11-10,Yes,77,Completed,Ready
S0223,Student_223,XYZ Institute,CSE,2025-07-23,Yes,97,Completed,Ready
S0224,Student_224,XYZ Institute,AI&ML,2025-08-07,Yes,60,Not Completed,Not Ready
S0225,Student_225,ABC College,AI&ML,2025-06-24,Yes,96,Completed,Ready
S0226,Student_226,XYZ Institute,IT,2025-04-15,Yes,63,Not Completed,Not Ready
S0227,Student_227,VIT,CSE,2025-05-21,Yes,46,Not Completed,Not Ready
S0228,Student_228,ABC College,CSE,2025-09-30,Yes,55,Not Completed,Not Ready
S0229,Student_229,SVEC,CSE,2025-07-05,No,46,Not Completed,Not Ready
S0230,Student_230,VIT,ME,2025-11-28,Yes,56,Not Completed,Not Ready
S0231,Student_231,VIT,CSE,2025-08-06,No,58,Not Completed,Not Ready
S0232,Student_232,SVEC,AI&ML,2025-03-11,Yes,79,Completed,Not Ready
S0233,Student_233,VIT,ECE,2025-12-28,Yes,46,Not Completed,Not Ready
S0234,Student_234,JNTU,IT,2025-03-16,Yes,50,Not Completed,Not Ready
S0235,Student_235,JNTU,AI&ML,2025-06-06,Yes,63,Not Completed,Not Ready
S0236,Student_236,XYZ Institute,CSE,2025-08-26,Yes,87,Completed,Ready
S0237,Student_237,ABC College,CSE,2025-12-26,Yes,59,Not Completed,Not Ready
S0238,Student_238,JNTU,AI&ML,2025-09-29,Yes,89,Completed,Not Ready
S0239,Student_239,ABC College,AI&ML,2025-04-22,Yes,48,Not Completed,Not Ready
S0240,Student_240,GITAM,IT,2025-10-22,Yes,88,Completed,Not Ready
S0241,Student_241,JNTU,CSE,2025-03-24,No,90,Not Completed,Not Ready
S0242,Student_242,VIT,ECE,2025-12-03,Yes,91,Completed,Ready
S0243,Student_243,GITAM,CSE,2025-09-20,Yes,68,Completed,Not Ready
S0244,Student_244,JNTU,Civil,2025-08-08,No,91,Not Completed,Not Ready
S0245,Student_245,VIT,EEE,2025-10-18,No,60,Not Completed,Not Ready
S0246,Student_246,GITAM,Civil,2025-02-12,Yes,50,Not Completed,Not Ready
S0247,Student_247,GITAM,AI&ML,2025-09-16,Yes,76,Completed,Ready
S0248,Student_248,SVEC,ME,2025-12-03,No,96,Not Completed,Not Ready
S0249,Student_249,XYZ Institute,CSE,2025-08-25,Yes,53,Not Completed,Not Ready
S0250,Student_250,JNTU,AI&DS,2025-11-22,Yes,78,Completed,Ready
S0251,Student_251,GITAM,AI&DS,2025-06-01,Yes,45,Not Completed,Not Ready
S0252,Student_252,VIT,ECE,2025-04-24,No,70,Not Completed,Not Ready
S0253,Student_253,GITAM,Civil,2025-04-02,Yes,48,Not Completed,Not Ready
S0254,Student_254,XYZ Institute,IT,2025-05-01,Yes,48,Not Completed,Not Ready
S0255,Student_255,JNTU,CSE,2025-10-08,Yes,74,Completed,Not Ready
S0256,Student_256,VIT,EEE,2025-11-09,Yes,80,Completed,Ready
S0257,Student_257,VIT,ME,2025-09-23,No,70,Not Completed,Not Ready
S0258,Student_258,JNTU,EEE,2025-07-31,Yes,88,Completed,Ready
S0259,Student_259,SVEC,Civil,2025-03-20,Yes,94,Completed,Ready
S0260,Student_260,GITAM,ME,2025-12-10,Yes,63,Not Completed,Not Ready
S0261,Student_261,SVEC,EEE,2025-06-04,Yes,78,Completed,Ready
S0262,Student_262,GITAM,AI&ML,2025-02-19,Yes,93,Completed,Ready
S0263,Student_263,GITAM,ECE,2025-08-19,No,91,Not Completed,Not Ready
S0264,Student_264,ABC College,Civil,2025-05-18,Yes,73,Completed,Not Ready
S0265,Student_265,VIT,EEE,2025-07-24,Yes,51,Not Completed,Not Ready
S0266,Student_266,ABC College,AI&DS,2025-11-26,Yes,94,Not Completed,Not Ready
S0267,Student_267,XYZ Institute,EEE,2025-09-29,Yes,52,Not Completed,Not Ready
S0268,Student_268,VIT,Civil,2025-04-02,Yes,67,Completed,Not Ready
S0269,Student_269,VIT,IT,2025-05-15,Yes,60,Not Completed,Not Ready
S0270,Student_270,VIT,ME,2025-09-13,Yes,93,Completed,Ready
S0271,Student_271,SVEC,AI&ML,2025-06-19,Yes,66,Completed,Not Ready
S0272,Student_272,SVEC,IT,2025-10-24,Yes,50,Not Completed,Not Ready
S0273,Student_273,ABC College,AI&ML,2025-04-12,Yes,46,Not Completed,Not Ready
S0274,Student_274,GITAM,AI&ML,2025-07-28,Yes,45,Not Completed,Not Ready
S0275,Student_275,XYZ Institute,ECE,2025-11-30,Yes,49,Not Completed,Not Ready
S0276,Student_276,SVEC,Civil,2025-02-07,Yes,62,Not Completed,Not Ready
S0277,Student_277,JNTU,AI&DS,2025-07-12,Yes,88,Not Completed,Not Ready
S0278,Student_278,XYZ Institute,Civil,2025-01-29,Yes,78,Completed,Ready
S0279,Student_279,JNTU,Civil,2025-09-26,Yes,51,Not Completed,Not Ready
S0280,Student_280,XYZ Institute,AI&DS,2025-07-15,Yes,84,Completed,Ready
S0281,Student_281,JNTU,ME,2025-10-21,Yes,67,Completed,Not Ready
S0282,Student_282,JNTU,IT,2025-07-28,Yes,83,Completed,Ready
S0283,Student_283,XYZ Institute,ME,2025-12-08,No,60,Not Completed,Not Ready
S0284,Student_284,VIT,EEE,2025-10-17,Yes,82,Completed,Ready
S0285,Student_285,ABC College,CSE,2025-02-04,Yes,98,Not Completed,Not Ready
S0286,Student_286,VIT,ME,2025-04-22,Yes,47,Not Completed,Not Ready
S0287,Student_287,JNTU,ECE,2025-07-13,Yes,64,Not Completed,Not Ready
S0288,Student_288,VIT,Civil,2025-03-06,No,89,Not Completed,Not Ready
S0289,Student_289,VIT,EEE,2025-09-10,Yes,75,Completed,Ready
S0290,Student_290,GITAM,CSE,2025-06-09,Yes,91,Completed,Ready
S0291,Student_291,JNTU,EEE,2025-04-20,Yes,93,Not Completed,Not Ready
S0292,Student_292,GITAM,AI&DS,2025-08-03,Yes,69,Completed,Not Ready
S0293,Student_293,ABC College,EEE,2025-09-05,Yes,74,Completed,Not Ready
S0294,Student_294,SVEC,CSE,2025-12-16,No,76,Not Completed,Not Ready
S0295,Student_295,ABC College,ME,2025-01-15,Yes,86,Completed,Ready
S0296,Student_296,SVEC,AI&ML,2025-09-29,No,87,Not Completed,Not Ready
S0297,Student_297,GITAM,CSE,2025-02-04,Yes,83,Completed,Ready
S0298,Student_298,SVEC,Civil,2025-05-30,No,78,Not Completed,Not Ready
S0299,Student_299,VIT,CSE,2025-06-26,Yes,55,Not Completed,Not Ready
S0300,Student_300,VIT,AI&DS,2025-04-15,Yes,74,Completed,Not Ready
S0301,Student_301,ABC College,IT,2025-10-09,Yes,60,Not Completed,Not Ready
S0302,Student_302,ABC College,ME,2025-05-31,Yes,92,Not Completed,Not Ready
S0303,Student_303,XYZ Institute,ME,2025-06-05,Yes,65,Completed,Not Ready
S0304,Student_304,ABC College,AI&ML,2025-07-09,Yes,63,Not Completed,Not Ready
S0305,Student_305,XYZ Institute,Civil,2025-11-20,Yes,92,Completed,Ready
S0306,Student_306,ABC College,ME,2025-01-12,Yes,97,Not Completed,Not Ready
S0307,Student_307,XYZ Institute,AI&DS,2025-12-25,Yes,61,Not Completed,Not Ready
S0308,Student_308,ABC College,Civil,2025-08-07,Yes,72,Completed,Not Ready
S0309,Student_309,XYZ Institute,CSE,2025-06-16,No,97,Not Completed,Not Ready
S0310,Student_310,XYZ Institute,EEE,2025-02-26,No,51,Not Completed,Not Ready
S0311,Student_311,JNTU,ME,2025-06-21,Yes,51,Not Completed,Not Ready
S0312,Student_312,JNTU,ECE,2025-11-12,Yes,67,Completed,Not Ready
S0313,Student_313,SVEC,AI&DS,2025-03-29,Yes,53,Not Completed,Not Ready
S0314,Student_314,JNTU,ME,2025-10-18,Yes,98,Completed,Ready
S0315,Student_315,XYZ Institute,ME,2025-11-01,Yes,59,Not Completed,Not Ready
S0316,Student_316,SVEC,EEE,2025-02-15,Yes,95,Completed,Not Ready
S0317,Student_317,ABC College,IT,2025-01-13,No,60,Not Completed,Not Ready
S0318,Student_318,GITAM,AI&ML,2025-11-21,Yes,95,Not Completed,Not Ready
S0319,Student_319,XYZ Institute,ME,2025-11-21,Yes,96,Not Completed,Not Ready
S0320,Student_320,GITAM,IT,2025-09-15,No,94,Not Completed,Not Ready
S0321,Student_321,GITAM,IT,2025-08-15,Yes,91,Completed,Not Ready
S0322,Student_322,GITAM,IT,2025-08-15,Yes,52,Not Completed,Not Ready
S0323,Student_323,JNTU,AI&ML,2025-03-15,Yes,75,Completed,Ready
S0324,Student_324,GITAM,AI&ML,2025-10-16,Yes,94,Completed,Not Ready
S0325,Student_325,ABC College,AI&ML,2025-04-21,Yes,55,Not Completed,Not Ready
S0326,Student_326,JNTU,AI&ML,2025-01-07,Yes,77,Completed,Not Ready
S0327,Student_327,VIT,CSE,2025-07-05,Yes,71,Completed,Not Ready
S0328,Student_328,ABC College,IT,2025-11-10,Yes,80,Not Completed,Not Ready
S0329,Student_329,SVEC,ECE,2025-03-09,Yes,93,Completed,Not Ready
S0330,Student_330,VIT,AI&ML,2025-10-08,Yes,54,Not Completed,Not Ready
S0331,Student_331,GITAM,Civil,2025-09-18,No,83,Not Completed,Not Ready
